id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct;sibag_id;gobag_id
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2023-08-14T17:07:49;71697;45464;1;1
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2023-08-14T21:04:41;75289;21024;2;2
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2023-08-14T06:08:05;71090;65309;3;3
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2023-08-14T01:37:42;52820;82484;4;4
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2023-08-14T20:15:36;13439;33970;5;5
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2023-08-14T05:01:48;64329;13556;6;6
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2023-08-14T07:31:56;54588;45928;7;7
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2023-08-14T21:35:20;3244;21747;8;8
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2023-08-14T12:55:59;90189;81327;9;9
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2023-08-14T01:36:09;32637;8639;10;10
